Title,Genres,Plot,Rating,Released_Year
2001: A Space Odyssey,"['Adventure', 'Sci-Fi']","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",8.3,1968.0
Per qualche dollaro in più,['Western'],Two bounty hunters with the same intentions team up to track down a Western outlaw.,8.3,1965.0
Lawrence of Arabia,"['Adventure', 'Biography', 'Drama']","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",8.3,1962.0
The Apartment,"['Comedy', 'Drama', 'Romance']","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",8.3,1960.0
North by Northwest,"['Adventure', 'Mystery', 'Thriller']",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,8.3,1959.0
Vertigo,"['Mystery', 'Romance', 'Thriller']",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,8.3,1958.0
Singin' in the Rain,"['Comedy', 'Musical', 'Romance']",A silent film production company and cast make a difficult transition to sound.,8.3,1952.0
Ikiru,['Drama'],A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,8.3,1952.0
Ladri di biciclette,['Drama'],"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",8.3,1948.0
Double Indemnity,"['Crime', 'Drama', 'Film-Noir']",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,8.3,1944.0
Citizen Kane,"['Drama', 'Mystery']","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",8.3,1941.0
M - Eine Stadt sucht einen Mörder,"['Crime', 'Mystery', 'Thriller']","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",8.3,1931.0
Metropolis,"['Drama', 'Sci-Fi']","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",8.3,1927.0
The Kid,"['Comedy', 'Drama', 'Family']","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",8.3,1921.0
Chhichhore,"['Comedy', 'Drama']","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",8.2,2019.0
Uri: The Surgical Strike,"['Action', 'Drama', 'War']","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",8.2,2018.0
K.G.F: Chapter 1,"['Action', 'Drama']","In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",8.2,2018.0
Green Book,"['Biography', 'Comedy', 'Drama']",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,2018.0
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,8.2,2017.0
Talvar,"['Crime', 'Drama', 'Mystery']",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,8.2,2015.0
Baahubali 2: The Conclusion,"['Action', 'Drama']","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",8.2,2017.0
Klaus,"['Animation', 'Adventure', 'Comedy']","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",8.2,2019.0
